"","data_set","unit","prediction_horizon","lag_structure","prediction_time","pred_mean","pred_var","lb50","ub50","lb95","ub95","obs","unit_wise_log_score","unit_wise_pit_l","unit_wise_pit_u","multiv_log_score"
"1","noroBE",1,4,"lin",204,5.57676886675121,12.6144452036341,3,7,1,14,8,2.70158305004554,0.750077193023169,0.817176400238598,2.57319577629454
"2","noroBE",2,4,"lin",204,5.0094349991724,10.4116181998037,3,7,0,13,1,2.53331424729324,0.0314484873783668,0.11084393498568,2.57319577629454
"3","noroBE",3,4,"lin",204,7.43263769886703,21.2318580696215,4,10,1,19,2,2.78549015017542,0.0473238793065771,0.109022719227628,2.57319577629454
"4","noroBE",4,4,"lin",204,5.25740376660329,12.9099457349449,3,7,0,14,3,2.03082861250929,0.229818194197282,0.361044934164985,2.57319577629454
"5","noroBE",5,4,"lin",204,7.27979327540354,19.2803993111222,4,10,1,18,3,2.47100670895526,0.108440670461305,0.192940419975263,2.57319577629454
"6","noroBE",6,4,"lin",204,6.79191744449798,18.108738951125,4,9,1,17,4,2.23269253711224,0.228394728166582,0.335634023441467,2.57319577629454
"7","noroBE",7,4,"lin",204,14.6529247001863,74.1297447590247,8,19,3,36,8,2.92442621384725,0.196890166031875,0.250585658837434,2.57319577629454
"8","noroBE",8,4,"lin",204,9.53396144089151,32.2712243264595,5,13,2,23,11,2.826970560378,0.63886892225225,0.698060822867835,2.57319577629454
"9","noroBE",9,4,"lin",204,7.23815376400363,21.3482494543063,4,10,1,19,5,2.27385528990214,0.310086330351114,0.413000978821762,2.57319577629454
"10","noroBE",10,4,"lin",204,16.517615815056,101.453608610366,9,21,3,42,14,3.06863421257878,0.454530014122889,0.501014613725858,2.57319577629454
"11","noroBE",11,4,"lin",204,10.8241300976271,39.7818770021736,6,14,2,26,3,3.238558870962,0.0407828593659358,0.0800032353797591,2.57319577629454
"12","noroBE",12,4,"lin",204,9.85368682499001,35.9336293041312,6,13,2,25,4,2.73992296235084,0.10796619598977,0.172541517422279,2.57319577629454
