"horizon","full_ar1","full_geom","full_pois","full_lin","full_unres","gravity_ar1","gravity_geom","gravity_pois","gravity_lin","gravity_unres","glarma","naive"
1,1.78740133311157,1.76680553934975,1.76954047124564,1.77090948830556,1.7702917538822,1.78471352462983,1.76533684045109,1.76803399710674,1.77296146199683,1.76915986885104,1.79550590551942,1.87471910724096
2,1.80912515076395,1.78814749298638,1.79088156123054,1.7941646669793,1.79063339511455,1.80788108424472,1.7853851858426,1.78925513014964,1.79775321281191,1.78869027437217,1.80859274612492,1.8776925877782
3,1.81902523153629,1.79615894730469,1.79915295493023,1.8002438454657,1.79645628947453,1.81740955050542,1.79316281757092,1.79763183317451,1.80240542455579,1.79436888153188,1.81242739264805,1.87920205781221
4,1.82821140023608,1.80919181734384,1.81247385978484,1.81232044972909,1.80744858989097,1.82729228897799,1.80959245994274,1.81248439804509,1.81725597271601,1.8070792580693,1.82501148696973,1.88085430748547
