"","full","gravity"
"ar1",1.78740133311157,1.78471352462983
"pois",1.76954047124564,1.76803399710674
"lin",1.77090948830556,1.7729614619071
"geom",1.76680553934975,1.76533684045109
"unres",1.7702917538822,1.76915986885104
"glarma",1.79550590551942,NA
"naive",1.87471910724096,NA
