"","gravity","full"
"ar1",20196.3678966812,20132.8493580161
"pois",20075.6313008444,20025.0213763194
"lin",20078.3540383723,20028.2681098838
"geom",20070.4511538487,20022.1622038126
"unres",20073.3893641943,20026.7903292869
