"","pois","lin","geom","unres"
"1",20196.3678966812,20196.3678966812,20196.3678966812,20196.3678966812
"2",20091.9779297845,20091.9780540553,20091.9779297845,20091.9779297845
"3",20077.6146607449,20078.3540383723,20075.7570936608,20077.6949921624
"4",20076.0746866749,20078.3540383723,20073.5230708112,20077.2893309958
"5",20075.6313008444,20078.3540383723,20070.4511538487,20073.3893641943
"6",20075.5943235325,20078.3540383723,20069.6689422064,20074.6693784313
"7",20075.5897044481,20078.3540383723,20068.9892088541,20074.1754106072
