"","pois","lin","geom","unres"
"1",20132.8493580161,20132.8493580161,20132.8493580161,20132.8493580161
"2",20037.7166711985,20037.7209967512,20037.7166711985,20037.7166711985
"3",20026.2985449135,20028.2681098838,20024.6989135278,20026.6821784658
"4",20025.2445800427,20028.2681098838,20023.4268351607,20027.2525824202
"5",20025.0213763194,20028.2681098838,20022.1622038126,20026.7903292869
"6",20024.9977242246,20028.2681098838,20021.7081027192,20028.0012215423
"7",20024.9948427026,20028.2681098838,20021.3253438114,20027.4043585715
