"","pois","lin","geom","unres"
"1",15114.9547816107,15114.9547816107,15114.9547816107,15114.9547816107
"2",15060.3666395942,15060.3673818059,15060.3666395942,15060.3666395942
"3",15047.0795901936,15048.2800864516,15044.112208219,15045.8142545201
"4",15044.380586421,15048.2800864516,15036.5656210812,15037.5708479751
"5",15043.9395955822,15048.2800864516,15032.6139262984,15033.5404704488
"6",15043.93755337,15048.2800864516,15033.2473219488,15035.5457307769
"7",15043.9370859728,15048.2800864516,15033.3013267466,15037.5408467604
