"","pois","lin","geom","unres"
"1",15150.8191985227,15150.8191985227,15150.8191985227,15150.8191985227
"2",15091.0864188839,15091.0874048437,15091.0864188839,15091.0864188839
"3",15076.2368768845,15076.8898026118,15072.4267715759,15073.8339238684
"4",15072.6897257245,15076.0057408212,15062.2294145606,15061.8971965303
"5",15072.1533568867,15076.0057408212,15057.5521809875,15057.9615220012
"6",15072.1480904688,15076.0057408212,15058.1627322738,15059.9614801796
"7",15072.1469344874,15076.0057408212,15058.0437274948,15061.8466335445
