"","gravity","full"
"ar1",15150.8191985227,15114.9547816107
"pois",15072.1533568867,15043.9395955822
"lin",15076.0057408212,15048.2800864516
"geom",15057.5521809875,15032.6139262984
"unres",15057.9615220012,15033.5404704488
