"prediction_horizon","kcde.diagonal.non_seas","kcde.full.non_seas","kcde.diagonal.seas","kcde.full.seas","hhh4_ar1","hhh4_pois","hhh4_lin","hhh4_geom","hhh4_unres","hhh4_siraj","naive","glarma"
1,3.97160633348662,3.91860988420529,3.95972972563425,3.8875105624556,3.90496531144762,3.8454766293919,3.84823472712897,3.84947546675357,3.85535296435234,4.08850147001168,5.60058537068829,3.84043604724644
2,4.21576767417708,4.12892964605212,4.16700295025031,4.05515510009128,4.10925868746916,4.00963341907028,4.01362894700473,4.0172942722013,4.01838727975031,4.09439848373973,5.60474779290454,4.07385951733986
3,4.39804550184634,4.31376555260253,4.29591273929951,4.1724510065003,4.29155933069456,4.17232180103465,4.1762941217025,4.18307563413276,4.17690581605107,4.19954495433569,5.60877330117922,4.24267479396045
4,4.51647725847727,4.43245456468891,4.38031764370882,4.25898215336794,4.43276785757838,4.30996354685954,4.31735382430447,4.31979628888974,4.31598294549999,4.38533546538777,5.61270647775751,4.36424915694338
5,4.62580724371658,4.56662832695296,4.45893603444363,4.37405181095987,4.55776539294722,4.44266555565036,4.45407265237167,4.45801653074008,4.45030745677542,4.53048223066128,5.61660729038044,4.46805971503116
6,4.73831172033954,4.67817642610396,4.53072800735023,4.45733248882626,4.69029672612733,4.57390559496706,4.58500028529863,4.59573157094102,4.58880348609723,4.67633257483216,5.62030395427459,4.5655723130403
7,4.81205278975232,4.76273812689935,4.56165750153306,4.51145933297581,4.77026065378534,4.66498070677319,4.6767760597763,4.69642751821897,4.68602769970293,4.79897582327891,5.62362327577098,4.62719508670118
8,4.89259328415831,4.83694900301888,4.61821872142029,4.59144649504459,4.87224408702288,4.77837356101722,4.80183395843921,4.81109394134491,4.80776734464357,4.94064452236264,5.62675367177234,4.70562960675134
