"","full","gravity"
"ar1",2.37787003939402,2.38338935039407
"pois",2.36270386873065,2.36800284940756
"lin",2.36337361437443,2.36889651645888
"geom",2.36139242855963,2.36608195565963
"unres",2.36312708883265,2.36865323580369
"glarma",2.38316158398388,NA
"naive",2.47460762965313,NA
