"horizon","ar1","geom","gravity_ar1","gravity_geom","glarma","naive"
1,2.37787003939402,2.36139242855963,2.38338935039407,2.36608195565963,2.38316158398388,2.47460762965313
2,2.40832940184727,2.39627712518458,2.42088061951023,2.40364962594362,2.423119619265,2.47560916808166
3,2.42258091902681,2.41097233905417,2.44040610015777,2.4218109501424,2.44391624722654,2.47630146908855
4,2.42810691300181,2.41636332311828,2.44899919858404,2.42905260065877,2.45222575103414,2.47673799410625
